,Top102015,Top102016,Top102017,Top102018,Top102019,mean,Week
0,273024546,165020197,173344651,165718403,186795018,192780563.0,52
1,302697164,203485726,164303262,163297800,243217105,215400211.4,51
2,66695452,71566771,267186366,101640559,110431501,123504129.8,50
3,86761557,83749622,70644026,73877715,79725257,78951635.4,49
4,167805985,170608751,96708952,106190738,167269352,141716755.6,48
5,163255301,146558755,178495539,203836618,190145821,176458406.8,47
6,93635619,145898093,192816366,161437498,89599064,136677328.0,46
7,148792362,180664140,137873693,152580543,100490654,144080278.4,45
8,58434174,74204699,164643982,129384786,99329393,105199406.8,44
9,89803867,109125994,57899380,90992092,91497737,87863814.0,43
10,108805935,84988876,76408192,155990869,129825817,111203937.8,42
11,106804689,93110131,88765700,126136778,132906213,109544702.2,41
12,139834346,102190772,97001069,168979851,142713298,130143867.2,40
13,125667878,92840344,80260428,92141186,83354126,94852792.4,39
14,96138932,71090385,108472634,78315568,113373910,93478285.8,38
15,81621359,80346710,101574131,94001600,97031904,90915140.8,37
16,60032495,66887892,153028668,106333196,123496912,101955832.6,36
17,63160916,91226565,48865218,73798836,63928598,68196026.6,35
18,85356247,112417199,46116140,84558009,87899112,83269341.4,34
19,129704209,153823583,75677045,110718157,101857634,114356125.6,33
20,113252833,217747182,95249031,126978553,121235199,134892559.6,32
21,136167805,174855310,105440174,119739621,143893312,136019244.4,31
22,138254037,178420955,134073732,143331278,155622904,149940581.2,30
23,178494977,151409743,172931486,157376958,253574574,182757547.6,29
24,202943834,205989677,156068438,154037869,114124922,166632948.0,28
25,127004488,179579258,198323345,176800250,174209668,171183401.8,27
26,174073731,177111633,157207541,167201140,138825078,162883824.6,26
27,238740396,223184760,130023273,269388336,189899923,210247337.6,25
28,266035144,139567249,178932468,258481930,123601448,193323647.8,24
29,122790825,123684021,137307539,109660193,158327825,130354080.6,23
30,131136807,157294653,179022383,97051566,167597113,146420504.4,22
31,144619728,128324753,133992099,175038242,173109025,151016769.4,21
32,175540242,123025320,115331687,200438167,139901024,150847288.0,20
33,119640318,232395976,124517741,126696435,160271263,152704346.6,19
34,223967813,96937478,184356127,158985116,193910218,171631350.4,18
35,80145066,117626464,80793191,303012371,396469872,195609392.8,17
36,108634824,165029225,90926040,106600851,95279443,113294076.6,16
37,123487605,91145188,155863273,131792250,100437182,120545099.6,15
38,216669859,118559272,106287914,140865614,137908217,144058175.2,14
39,139905374,243491430,161650523,115250516,129484146,157956397.8,13
40,117323618,115774645,192647503,108669222,139284316,134739860.8,12
41,115580190,118186835,252225276,118810762,126418468,146244306.2,11
42,72251925,142568989,149362845,123134923,198063125,137076361.4,10
43,89378196,91278176,168014995,134280505,94364496,115463273.6,9
44,103802091,121119706,103860378,177068935,110669509,123304123.8,8
45,196187392,215810637,128860229,267360455,105197571,182683256.8,7
46,132753774,75395999,171094497,113834248,95027517,117621207.0,6
47,80089127,118353833,75662315,65718354,52087190,78382163.8,5
48,136480820,95736903,111650133,102483376,73819238,104034094.0,4
49,178963570,145502232,120214041,104176178,109523159,131675836.0,3
50,104708370,142912699,119057524,129325213,96775974,118555956.0,2
51,125851864,198537624,120491633,144171701,119007739,141612112.2,1
